,Station_Id,XLONG,XLAT,SpotTime,PredTime,Direction_x,Speed_x,SeaPressure,StaPressure,P3,Temp,DPT,Direction_y,Speed_y
16,48806.0,103.9,21.33,2017010112,2017010306,127.57838127839828,7.933376856154075,94060.0,101770.0,270.0,293.15,288.35,180.0,3.0
17,48806.0,103.9,21.33,2017010200,2017010306,124.2151027603342,7.936682017112024,94060.0,101770.0,270.0,293.15,288.35,180.0,3.0
18,48806.0,103.9,21.33,2017010212,2017010306,126.06520222768444,7.0794895366780874,94060.0,101770.0,270.0,293.15,288.35,180.0,3.0
19,48806.0,103.9,21.33,2017010300,2017010306,123.87744548819174,7.017386127248213,94060.0,101770.0,270.0,293.15,288.35,180.0,3.0
25,48806.0,103.9,21.33,2017010112,2017010318,146.23088732354512,4.4987022971157815,94060.0,101830.0,90.0,291.35,288.05,180.0,2.0
26,48806.0,103.9,21.33,2017010200,2017010318,141.52696977635787,5.053146356811392,94060.0,101830.0,90.0,291.35,288.05,180.0,2.0
27,48806.0,103.9,21.33,2017010212,2017010318,136.87166625583444,5.544375048086313,94060.0,101830.0,90.0,291.35,288.05,180.0,2.0
28,48806.0,103.9,21.33,2017010300,2017010318,149.3151081086921,4.3329052348541275,94060.0,101830.0,90.0,291.35,288.05,180.0,2.0
29,48806.0,103.9,21.33,2017010312,2017010318,136.66245015317298,5.555223990902437,94060.0,101830.0,90.0,291.35,288.05,180.0,2.0
36,48806.0,103.9,21.33,2017010112,2017010406,123.32719608688356,6.580969121685535,93870.0,101530.0,250.0,295.05,285.25,160.0,5.0
37,48806.0,103.9,21.33,2017010200,2017010406,131.8694738286365,5.709672048887433,93870.0,101530.0,250.0,295.05,285.25,160.0,5.0
38,48806.0,103.9,21.33,2017010212,2017010406,126.84870262835163,6.805241192095437,93870.0,101530.0,250.0,295.05,285.25,160.0,5.0
39,48806.0,103.9,21.33,2017010300,2017010406,126.36262205016638,6.221316315862152,93870.0,101530.0,250.0,295.05,285.25,160.0,5.0
40,48806.0,103.9,21.33,2017010312,2017010406,126.84993813230128,6.886476934574912,93870.0,101530.0,250.0,295.05,285.25,160.0,5.0
41,48806.0,103.9,21.33,2017010400,2017010406,127.51547099397291,6.355367337449988,93870.0,101530.0,250.0,295.05,285.25,160.0,5.0
42,48806.0,103.9,21.33,2017010112,2017010412,135.05451884851777,4.432727846619951,94070.0,101890.0,240.0,288.65,287.05,340.0,2.0
43,48806.0,103.9,21.33,2017010200,2017010412,118.23219550314785,4.995711520752804,94070.0,101890.0,240.0,288.65,287.05,340.0,2.0
44,48806.0,103.9,21.33,2017010212,2017010412,131.90453781479428,4.396306765313982,94070.0,101890.0,240.0,288.65,287.05,340.0,2.0
45,48806.0,103.9,21.33,2017010300,2017010412,127.44206420757664,4.834503856240209,94070.0,101890.0,240.0,288.65,287.05,340.0,2.0
46,48806.0,103.9,21.33,2017010312,2017010412,122.5011121387343,4.622243674942721,94070.0,101890.0,240.0,288.65,287.05,340.0,2.0
47,48806.0,103.9,21.33,2017010400,2017010412,115.52279802306325,4.471835583261116,94070.0,101890.0,240.0,288.65,287.05,340.0,2.0
48,48806.0,103.9,21.33,2017010412,2017010412,15.712557186747643,1.6387464702630894,94070.0,101890.0,240.0,288.65,287.05,340.0,2.0
64,48806.0,103.9,21.33,2017010112,2017010506,137.5383449033078,5.735916943702402,93940.0,101760.0,220.0,289.75,287.75,90.0,1.0
65,48806.0,103.9,21.33,2017010200,2017010506,134.77175054770336,4.508070274425607,93940.0,101760.0,220.0,289.75,287.75,90.0,1.0
66,48806.0,103.9,21.33,2017010212,2017010506,140.84517124643264,6.007813124009748,93940.0,101760.0,220.0,289.75,287.75,90.0,1.0
