stationID,LONG,LAT
48806,103.9,21.33
48917,103.96,10.21
48916,103.46,9.28
48802,103.82,22.35
48803,103.96,22.5
56778,102.68,25.01
48930,102.13,19.88
48940,102.52,17.95
56444,98.88,28.45
56492,104.6,28.8
56571,102.26,27.9
56287,103.0,29.98
56684,103.28,26.41
56751,100.18,25.7
56786,103.83,25.58
56977,101.85,22.58
55591,91.13,29.66
56739,98.5,25.01
56951,100.21,23.95
56964,101.4,22.66
56671,102.25,26.65
56357,100.3,29.05
56586,103.71,27.35
56748,99.16,25.11
56763,101.86,25.73
56768,101.53,25.01
56838,97.85,24.01
56886,103.76,24.53
56946,99.4,23.55
56959,100.8,22.0
56969,101.56,21.48
56475,102.51,28.65
56485,103.56,28.28
56533,98.66,27.75
56543,99.7,27.83
56565,101.51,27.43
56643,98.85,26.86
56875,102.55,24.35
56991,104.33,23.61
48008,97.4,25.36
48018,96.33,24.16
48025,94.3,23.2
48042,96.1,21.98
48053,95.83,20.83
48060,99.61,21.3
48062,92.88,20.13
48078,96.46,18.91
48080,94.35,18.46
48108,98.21,14.1
48109,93.36,14.11
48110,98.6,12.43
48112,98.58,9.96
55569,87.63,29.08
55585,90.16,29.43
55598,91.76,29.25
55680,89.6,28.91
55690,91.95,27.98
56986,103.68,22.98
56386,103.75,29.56
56459,101.26,27.93
56548,99.28,27.16
56664,101.26,26.63
56793,104.61,25.78
56856,100.86,24.46
55578,88.88,29.25
55664,87.08,28.63
55773,89.08,27.73
56312,94.46,29.56
56462,101.5,29.0
56651,100.21,26.86
56691,104.28,26.86
56985,103.38,23.38
55696,92.46,28.41
56385,103.33,29.51
56954,99.93,22.56
56966,101.98,23.43
42348,75.8,26.81
42361,78.25,26.23
42369,80.88,26.75
42452,75.85,25.15
42559,77.31,24.65
42647,72.63,23.06
42667,77.35,23.28
42724,91.25,23.88
42737,70.78,22.3
42779,81.9,22.76
42809,88.45,22.65
42867,79.05,21.1
42909,70.36,20.9
43003,72.85,19.11
43014,75.4,19.85
43063,73.85,18.53
43117,75.9,17.66
43128,78.46,17.45
43185,81.13,16.18
43189,82.23,16.95
43192,73.81,15.48
43233,76.43,14.23
43237,77.63,14.58
43245,79.98,14.45
43279,80.18,13.0
43284,74.88,12.91
43295,77.58,12.96
43321,77.05,11.03
43344,78.71,10.76
43371,76.94,8.48
48327,98.98,18.78
48331,100.77,18.77
48353,101.73,17.45
48356,104.13,17.15
48375,98.55,16.66
48378,100.26,16.78
48381,102.46,16.28
48407,104.86,15.25
48431,102.08,14.96
48432,103.5,14.88
48455,100.5,13.73
48456,100.6,13.91
48480,102.12,12.6
48500,99.8,11.8
48935,103.13,19.46
42410,91.58,26.1
42492,85.1,25.6
42634,69.66,23.25
42675,79.95,23.17
42754,75.8,22.71
42840,72.83,21.2
42886,84.08,21.91
42895,86.93,21.5
42971,85.83,20.25
43198,74.61,15.85
43201,75.63,15.41
43213,78.06,15.8
43329,79.76,11.76
43353,76.23,9.93
43369,73.0,8.3
43424,79.83,8.03
43436,81.69,7.71
43467,79.88,6.81
43497,81.13,6.11
42131,75.73,29.16
42165,73.3,28.0
42182,77.19,28.58
42309,94.11,27.23
42314,95.01,27.48
42328,70.91,26.9
42339,73.01,26.3
42379,83.36,26.75
42475,81.73,25.45
42571,80.83,24.56
42591,84.95,24.75
42623,93.9,24.66
42701,85.31,23.31
42798,86.18,22.81
43041,82.03,19.08
43086,79.43,18.76
43110,73.33,16.98
43314,75.78,11.25
43333,92.71,11.66
43473,80.76,6.96
40362,43.48,29.61
40373,46.13,28.31
40848,52.53,29.53
40856,60.88,29.46
40875,56.28,27.18
40898,60.61,25.28
41114,42.8,18.29
41128,44.41,17.61
41140,42.58,16.88
41194,55.33,25.25
41288,58.9,20.66
41316,54.08,17.03
41136,47.15,17.45
41196,55.51,25.33
41256,58.28,23.58
44416,81.61,28.6
44438,83.45,27.51
44454,85.36,27.7
44477,87.35,26.98
42260,77.96,27.15
41685,69.71,29.88
41710,62.75,28.81
41718,70.68,28.65
41739,64.1,26.96
41744,66.63,27.83
41749,68.36,26.25
48035,97.75,22.93
42189,79.4,28.36
41712,64.4,28.88
41715,68.46,28.3
41756,61.8,25.06
41768,69.78,25.51
41780,67.13,24.9
48698,103.98,1.36
48991,104.85,11.55
63671,40.06,1.75
96009,97.17,5.23
96011,95.41,5.51
96035,98.68,3.56
96073,98.88,1.55
96091,104.53,0.91
96109,101.45,0.46
96001,95.31,5.86
96015,96.11,4.25
96075,97.63,1.5
96087,104.11,1.11
96033,98.7,3.8
63471,41.85,9.6
63478,44.58,5.1
42587,84.06,24.05
41170,51.56,25.25
56317,94.21,29.21
55681,90.4,28.96
56582,103.88,27.76
56483,103.95,28.6
55597,91.68,29.03
48601,100.26,5.3
48615,102.28,6.16
48620,100.7,4.21
48647,101.55,3.11
48650,101.65,3.1
48657,103.22,3.62
48665,102.25,2.26
48300,97.83,19.29
48551,99.35,9.12
48565,98.3,8.1
48569,100.43,6.91
48303,99.83,19.88
48328,99.51,18.28
48330,100.16,18.16
48351,100.1,17.61
48354,102.8,17.38
48376,99.11,16.88
48377,99.05,17.23
48379,101.15,16.43
48400,100.16,15.8
48475,99.95,12.58
48477,100.98,12.68
48517,99.18,10.48
48532,98.63,9.97
48567,99.61,7.51
48310,99.9,19.13
48329,99.03,18.56
48357,104.78,17.41
48380,99.53,16.48
48383,104.71,16.53
48403,102.03,15.8
48405,103.68,16.04
48421,98.63,14.75
48425,100.13,14.46
48426,100.61,14.8
48430,101.36,14.05
48450,99.53,14.01
48459,100.98,13.36
48465,100.06,13.15
48550,100.05,9.46
48566,99.05,7.53
48315,100.8,19.11
48374,101.25,16.76
48385,98.86,16.01
48390,103.58,16.33
48413,101.11,15.58
48418,101.2,15.26
48434,102.16,14.71
48436,102.8,14.58
48439,101.7,13.98
48460,100.8,13.16
48461,100.86,12.91
48478,101.35,12.63
48501,102.88,11.76
48561,98.26,8.85
48564,98.4,7.88
