code,lat,long
LNDLXGGK,38.96527778,121.9147222
LNZHGK,39.62833333,122.9711111
LNCXDGK,39.59055556,121.3769444
LNPKGK,39.34472222,122.3841667
LNLSXGK,38.80111111,121.1361111
HBJTGK,39.20805556,118.9972222
HBCFDGK,39.02,118.5
HBHHGK,38.29555556,117.8038889
JSLSGK,32.01583333,121.4033333
JSSYGK,33.81055556,120.4916667
JSLYGGK,34.72555556,119.3841667
ZJZPGK,30.60055556,121.1
FJFZGK,25.92638889,119.455
SDWFGK,37.17111111,119.1936111
LNYKGK,40.29222222,122.1375
SDQDGK,36.09666667,120.3275
LNDLGK,38.9225,121.6302778
SDYTGK,37.53055556,121.3772222
SHYSGK,30.81638889,121.8697222
JSYKGK,32.42194444,121.34
JSDFGK,33.29555556,120.8025
ZJNBZSGK,30.00333333,122.1025
ZJZYAGK,27.89,121.1597222
FJQZGK,24.89361111,118.6888889
FJXMGK,24.46416667,118.0705556
GDGZGK,22.60194444,113.7102778
LNJZPO,40.78805556,121.0861111
SDDYPO,38.09138889,118.98
SDLKPO,37.64555556,120.2855556
SDDJKPO,35.575,119.7916667
SDRZPO,35.36222222,119.5791667
SDQHDPO,39.89027778,119.5861111
SDWHPO,37.45166667,122.2016667
SHCMPO,31.60916667,121.3836111
FJSTPO,23.3475,116.6888889
GXBHPO,21.49083333,109.0780556
HNHKXYPO,20.04305556,110.2783333
002360,-6.133333333,106.75
002560,1.433333333,125.2
002480,3.816666667,103.3
002170,1.366666667,103.75
002510,19.43333333,93.56666667
002470,10.63333333,103.4833333
002460,25.2,62.19
002490,22.36666667,91.8
002500,21.48333333,91.9
002540,6.916666667,79.86666667
002530,6.183333333,81.18333333
002520,21.05,39.01666667
002440,17,54.1
002450,31.23333333,32.26666667
002550,12.78333333,44.95
ITHBKKPO,13.08333333,100.4833333
IMYPENPO,5.416666667,100.35
IVNDANPO,16.06666667,108.2166667
UPHMANSPO,14.58333333,120.9666667
IPHCEBPO,10.28333333,123.9
IMMRGNPO,16.8,96.15
IBNBSBPO,4.933333333,114.9666667
ITPDILPO,-8.583333333,125.5833333
IINBOMPO,18.93333333,72.85
IDJDJIPO,11.6,43.13333333
IMVMLIPO,4.183333333,73.46666667
IAEABDPO,24.45,54.38333333
IIRBUSPO,29.00888889,50.82361111
IIQFAOPO,29.96666667,48.48333333
IQADOHPO,25.25,51.56666667
