,stationID,LONG,LAT,dist
5877,54568,121.7,39.08,0.05926681093456653
290,54662,121.63,38.9,0.08532791973457127
18099,ZCDF8,121.7,38.7,0.11647792373456617
6763,54569,121.96,39.4,0.19103348773456577
5886,54575,122.36,39.41,0.39605017213456406
394,54563,122.01,39.63,0.45093348893457147
5879,54660,121.23,38.81,0.4929556801345624
18903,ZCDF8,122.2,38.3,0.5239779477345752
5882,54579,122.58,39.26,0.5294557381345645
65045,V7QK3,121.9,38.1,0.7489223797345674
5883,54584,122.95,39.71,0.00711512353209953
5882,54579,122.58,39.26,0.28863733453210055
5886,54575,122.36,39.41,0.42112621953210166
5876,54486,123.28,40.28,0.5200818013321044
394,54563,122.01,39.63,0.9237373243320923
5300,54476,122.15,40.16,0.9568928865320923
5254,54474,122.35,40.41,0.9967817815321078
6763,54569,121.96,39.4,1.0744817661321142
4163,54475,122.48,40.61,1.204859563532102
127,54471,122.26,40.66,1.5700151145320937
61452,A8XD5,120.8,39.5,0.3410651501382922
5877,54568,121.7,39.08,0.36503190053826695
6763,54569,121.96,39.4,0.3762652541382505
394,54563,122.01,39.63,0.4023152565382633
290,54662,121.63,38.9,0.5409041181382643
5879,54660,121.23,38.81,0.6308596389382706
58341,A8XD5,121.8,40.3,0.6822874541382579
18099,ZCDF8,121.7,38.7,0.8974541261382591
5300,54476,122.15,40.16,0.9218819309382593
5886,54575,122.36,39.41,0.9989986229382467
5886,54575,122.36,39.41,0.00484521795061823
5882,54579,122.58,39.26,0.04552853595061491
6763,54569,121.96,39.4,0.1829730223506307
394,54563,122.01,39.63,0.22138413115062175
5883,54584,122.95,39.71,0.4535951799506115
5877,54568,121.7,39.08,0.5381619271506279
5300,54476,122.15,40.16,0.7195119019506121
290,54662,121.63,38.9,0.7665452643506406
18099,ZCDF8,121.7,38.7,0.8837508143506243
18903,ZCDF8,122.2,38.3,1.1253618903506293
5879,54660,121.23,38.81,0.008894137908641386
48092,V7YW2,121.0,38.5,0.10919413210864473
61766,A8XD5,121.0,38.5,0.10919413210864473
64530,SHIP,121.0,38.5,0.10919413210864473
290,54662,121.63,38.9,0.2537052581086294
18099,ZCDF8,121.7,38.7,0.32819414810863595
5877,54568,121.7,39.08,0.395749704508635
46399,A8HI8,121.4,38.2,0.43097191810863844
61452,A8XD5,120.8,39.5,0.6014163521086482
52741,MGSH7,121.7,38.1,0.8095274801086355
289,54539,118.9,39.41,0.050233713019753795
6769,54437,118.66,39.5,0.19895036821976378
6529,54540,119.16,39.71,0.27844483301975176
14341,ZCDF8,118.8,38.7,0.29701704821975405
6528,54535,118.45,39.28,0.304628138619762
6526,54531,118.75,39.73,0.3335448146197572
5934,54438,118.86,39.88,0.47033926261976233
5941,54541,119.23,39.88,0.5056948346197565
6520,54439,118.71,40.0,0.7096725882197658
6521,54449,119.6,39.93,0.8845448506197366
6528,54535,118.45,39.28,0.07009999999999868
14341,ZCDF8,118.8,38.7,0.19239999999999846
6769,54437,118.66,39.5,0.2559999999999959
289,54539,118.9,39.41,0.3120999999999995
7383,54646,118.41,38.45,0.3330000000000009
6771,54533,118.11,39.55,0.4329999999999941
457,54534,118.15,39.66,0.5320999999999877
6526,54531,118.75,39.73,0.5665999999999911
6040,54529,117.81,39.35,0.5849999999999957
6568,54530,117.76,39.23,0.5916999999999898
6546,54628,117.48,38.15,0.1260904405901139
5909,54722,117.58,37.76,0.33694599739011855
4158,54645,117.5,38.83,0.377979322990119
7383,54646,118.41,38.45,0.3912237505901337
6545,54627,117.23,38.03,0.39986822499010505
6390,54728,117.38,37.76,0.46650155739011756
5535,54730,118.11,37.68,0.47261265299012595
5914,54723,117.56,37.65,0.4762237765901153
395,54623,117.71,39.0,0.5050570945901274
6550,54644,117.08,38.05,0.5843126725901111
230,58265,121.6,32.06,0.04062848562778253
5994,58360,121.2,31.9,0.054761791227772146
6325,58268,121.08,32.1,0.11162845122777106
5988,58269,121.66,31.8,0.11246182122778399
6449,58264,121.18,32.33,0.14857845942776868
6270,58366,121.45,31.61,0.16687847262778058
460,58259,120.85,32.01,0.3062117686277694
164,58362,121.48,31.4,0.3851284732277829
6322,58377,121.1,31.46,0.4009617816277722
6728,58365,121.25,31.38,0.42779512442777523
163,58150,120.25,33.76,0.060958658535808535
5982,58154,120.15,33.38,0.30211422413580236
6729,58158,120.48,33.2,0.3729142037357971
6319,58143,119.8,33.8,0.47851424373582185
6316,58049,119.81,34.03,0.5128253521358163
6574,58146,119.81,33.48,0.573936468135815
185,58251,120.31,32.86,0.9365586625358027
5990,58045,119.6,34.21,0.9546253645358349
19117,A8UT6,120.9,34.8,1.1457363837357994
6318,58243,119.83,32.93,1.2131809161358156
6452,58041,119.43,34.78,0.005064888435803934
5980,58044,119.16,34.58,0.07143713043580849
184,58040,119.11,34.83,0.08607602043580902
6451,58047,119.23,34.3,0.2048649060358045
12706,A8UT6,119.9,34.9,0.29651485603580124
5990,58045,119.6,34.21,0.31238154883579294
6315,58048,119.35,34.1,0.39248712203579844
438,54945,119.53,35.38,0.4495648764358093
6575,58036,118.73,34.51,0.4743982708358091
6392,58032,118.65,34.93,0.5807982724358093
463,58464,121.08,30.61,0.0004891974469134283
6103,58458,120.93,30.51,0.037100309446909084
6564,58460,121.16,30.9,0.09326697264691296
6097,58451,120.9,30.85,0.10222252864690971
6098,58452,120.73,30.78,0.16910030704690682
6565,58462,121.25,31.0,0.18205586064691523
6101,58455,120.68,30.51,0.1846003094469028
6105,58467,121.26,30.2,0.1860447566469177
6140,58463,121.45,30.93,0.23103363904691931
6106,58468,121.15,30.06,0.2947003134469162
6292,58941,119.5,25.96,0.0031547067154324214
6364,58940,119.33,26.08,0.039221373115432084
5843,58942,119.38,25.71,0.05244915171543145
186,58847,119.28,26.08,0.054221373115431085
6362,58848,119.53,26.2,0.08048803951543303
6657,58844,119.15,26.15,0.1430269285154277
358,58944,119.78,25.51,0.2790047077154313
6661,58932,118.93,25.86,0.280032484715423
6658,58845,119.53,26.5,0.3346547055154344
5846,58946,119.0,25.43,0.4534269301154292
5150,54841,119.4,36.86,0.1393865008086444
174,54843,119.18,36.76,0.16919760680864204
6606,54832,118.71,36.88,0.31862537440864397
