,stationID,LONG,LAT,dist
5877,54568,121.7,39.08,0.059266811
290,54662,121.63,38.9,0.08532792
6763,54569,121.96,39.4,0.191033488
5886,54575,122.36,39.41,0.396050172
394,54563,122.01,39.63,0.450933489
5879,54660,121.23,38.81,0.49295568
5882,54579,122.58,39.26,0.529455738
5883,54584,122.95,39.71,0.007115124
5876,54486,123.28,40.28,0.520081801
5300,54476,122.15,40.16,0.956892887
5254,54474,122.35,40.41,0.996781782
4163,54475,122.48,40.61,1.204859564
127,54471,122.26,40.66,1.570015115
289,54539,118.9,39.41,0.050233713
6769,54437,118.66,39.5,0.198950368
6529,54540,119.16,39.71,0.278444833
6528,54535,118.45,39.28,0.304628139
6526,54531,118.75,39.73,0.333544815
5934,54438,118.86,39.88,0.470339263
5941,54541,119.23,39.88,0.505694835
6520,54439,118.71,40,0.709672588
6521,54449,119.6,39.93,0.884544851
7383,54646,118.41,38.45,0.333
6771,54533,118.11,39.55,0.433
457,54534,118.15,39.66,0.5321
6040,54529,117.81,39.35,0.585
6568,54530,117.76,39.23,0.5917
6546,54628,117.48,38.15,0.126090441
5909,54722,117.58,37.76,0.336945997
4158,54645,117.5,38.83,0.377979323
6545,54627,117.23,38.03,0.399868225
6390,54728,117.38,37.76,0.466501557
5535,54730,118.11,37.68,0.472612653
5914,54723,117.56,37.65,0.476223777
395,54623,117.71,39,0.505057095
6550,54644,117.08,38.05,0.584312673
230,58265,121.6,32.06,0.040628486
5994,58360,121.2,31.9,0.054761791
6325,58268,121.08,32.1,0.111628451
5988,58269,121.66,31.8,0.112461821
6449,58264,121.18,32.33,0.148578459
6270,58366,121.45,31.61,0.166878473
460,58259,120.85,32.01,0.306211769
164,58362,121.48,31.4,0.385128473
6322,58377,121.1,31.46,0.400961782
6728,58365,121.25,31.38,0.427795124
163,58150,120.25,33.76,0.060958659
5982,58154,120.15,33.38,0.302114224
6729,58158,120.48,33.2,0.372914204
6319,58143,119.8,33.8,0.478514244
6316,58049,119.81,34.03,0.512825352
6574,58146,119.81,33.48,0.573936468
185,58251,120.31,32.86,0.936558663
5990,58045,119.6,34.21,0.954625365
6318,58243,119.83,32.93,1.213180916
6452,58041,119.43,34.78,0.005064888
5980,58044,119.16,34.58,0.07143713
184,58040,119.11,34.83,0.08607602
6451,58047,119.23,34.3,0.204864906
6315,58048,119.35,34.1,0.392487122
438,54945,119.53,35.38,0.449564876
6575,58036,118.73,34.51,0.474398271
6392,58032,118.65,34.93,0.580798272
463,58464,121.08,30.61,0.000489197
6103,58458,120.93,30.51,0.037100309
6564,58460,121.16,30.9,0.093266973
6097,58451,120.9,30.85,0.102222529
