stationID,LONG,LAT
07005,1.83,50.13
07015,3.1,50.56
07020,358.06,49.71
07027,359.55,49.18
07037,1.18,49.38
07110,355.58,48.45
07117,356.53,48.83
07130,358.26,48.06
07139,0.1,48.43
07149,2.38,48.71
07168,4.01,48.33
07181,5.96,48.58
07190,7.63,48.55
07207,356.78,47.3
07222,358.4,47.15
07240,0.72,47.45
07255,2.36,47.06
07280,5.08,47.26
07299,7.51,47.6
07314,358.58,46.03
07335,0.3,46.58
07434,1.18,45.86
07460,3.16,45.78
07471,3.76,45.08
07481,5.08,45.73
07510,359.3,44.83
07535,1.4,44.75
07558,3.01,44.11
07577,4.73,44.58
07591,6.5,44.56
07607,359.5,43.91
07621,0.0,43.18
07627,1.1,43.0
07630,1.36,43.63
07643,3.96,43.58
07650,5.22,43.45
07661,5.93,43.08
07690,7.2,43.65
07747,2.86,42.73
07761,8.8,41.91
07790,9.48,42.55
78762,275.78,10.0
78947,299.0,14.01
87016,295.68,-23.15
87896,294.08,-47.73
87078,299.41,-24.7
87244,296.31,-29.9
87416,291.58,-33.08
87563,300.9,-36.03
87640,298.93,-36.2
87688,299.75,-38.33
87852,288.98,-46.51
80407,288.26,10.56
80410,290.68,10.06
80415,293.01,10.6
80419,295.31,10.11
80421,296.03,10.91
80423,297.68,10.58
80428,290.26,9.01
80432,293.08,9.41
80435,296.81,9.75
80438,288.81,8.6
80444,296.45,8.14
80447,287.54,7.85
80448,289.2,7.23
80450,292.58,7.9
80420,295.81,10.45
80425,289.06,9.81
80426,289.38,9.35
80427,290.76,9.55
80431,292.66,9.91
80437,288.35,8.63
80442,292.58,8.93
80472,292.06,10.16
80476,288.35,10.51
87393,302.35,-30.25
80403,290.31,11.41
80440,289.78,8.61
62403,32.75,26.2
62423,27.47,27.05
80457,292.5,5.6
80462,298.88,4.6
78767,276.95,10.0
87774,291.26,-41.25
48806,103.9,21.33
48855,108.18,16.03
48848,106.6,17.48
48852,107.68,16.4
48863,108.78,15.13
48877,109.21,12.21
48887,108.1,10.93
48870,109.21,13.76
48920,111.91,8.64
48892,114.33,11.41
48917,103.96,10.21
48914,105.17,9.17
48918,106.6,8.68
48919,110.61,8.01
48916,103.46,9.28
48907,105.08,10.0
48802,103.82,22.35
48803,103.96,22.5
48810,105.83,22.15
48831,105.83,21.6
48845,105.68,18.66
48840,105.78,19.75
48846,105.9,18.35
48866,108.0,13.98
48875,108.08,12.68
48826,106.63,20.8
48839,107.71,20.13
48830,106.76,21.83
48808,106.25,22.66
48838,107.97,21.52
48823,106.15,20.43
78951,298.79,13.13
50953,126.76,45.75
52652,100.43,38.93
52866,101.75,36.71
52983,104.15,35.86
53463,111.68,40.81
53588,113.53,39.03
53772,112.55,37.78
53915,106.66,35.55
54342,123.06,41.2
56080,102.9,35.0
56096,104.91,33.4
54471,122.26,40.66
57461,111.3,30.7
59316,116.68,23.4
59644,109.13,21.45
52418,94.68,40.15
53959,111.01,35.03
54094,129.6,44.56
56029,97.01,33.01
57127,107.03,33.06
52533,98.48,39.76
54337,121.11,41.13
54497,124.33,40.05
54823,119.98,36.68
56187,103.83,30.7
57687,112.91,28.21
57816,106.71,26.58
58102,115.76,33.86
58221,117.38,32.95
58606,115.91,28.6
59134,118.06,24.48
59758,110.35,20.03
50136,122.36,53.46
50788,131.98,47.23
52681,103.08,38.63
54102,116.06,43.95
54161,125.21,43.9
54292,129.46,42.88
54374,126.91,41.8
54909,115.55,35.1
50468,127.45,50.25
51463,87.61,43.78
51573,89.2,42.93
51709,75.98,39.46
54511,116.28,39.93
56778,102.68,25.01
57516,106.46,29.58
58150,120.25,33.76
58362,121.48,31.4
58457,120.16,30.23
59287,113.33,23.16
59431,108.35,22.81
50774,128.91,47.73
52203,93.51,42.81
53614,106.21,38.48
53646,109.7,38.23
53798,114.5,37.06
53845,109.5,36.6
54843,119.18,36.76
57131,108.97,43.33
51243,84.85,46.28
51288,90.53,45.36
53513,107.41,40.75
54218,118.96,42.26
54401,114.88,40.78
57083,113.65,34.71
57265,111.66,32.38
57494,114.13,30.61
