,direction,speed
0,110.0,2.0
1,360.0,2.0
2,270.0,8.0
3,250.0,3.0
4,140.0,1.0
5,70.0,1.0
6,50.0,1.0
7,320.0,3.0
8,250.0,1.0
9,250.0,1.0
10,220.0,2.0
11,270.0,2.0
12,270.0,1.0
13,180.0,2.0
14,230.0,2.0
15,290.0,4.0
16,180.0,3.0
17,160.0,1.0
18,230.0,8.0
19,230.0,9.0
20,160.0,2.0
21,20.0,3.0
22,220.0,1.0
23,360.0,2.0
24,360.0,1.0
25,180.0,2.0
26,70.0,1.0
27,320.0,3.0
28,50.0,1.0
29,180.0,5.0
30,250.0,2.0
31,230.0,3.0
32,110.0,1.0
33,90.0,4.0
34,250.0,8.0
35,320.0,3.0
36,50.0,5.0
37,50.0,1.0
38,220.0,1.0
39,50.0,4.0
40,90.0,1.0
41,340.0,2.0
42,20.0,4.0
43,270.0,1.0
44,230.0,4.0
45,220.0,4.0
46,160.0,3.0
47,180.0,1.0
48,50.0,3.0
49,320.0,3.0
50,230.0,2.0
51,270.0,3.0
52,200.0,1.0
53,180.0,3.0
54,250.0,6.0
55,250.0,1.0
56,140.0,3.0
57,270.0,1.0
58,250.0,6.0
59,230.0,8.0
60,250.0,6.0
61,250.0,11.0
62,40.0,1.0
63,70.0,2.0
64,270.0,1.0
65,50.0,1.0
66,90.0,3.0
67,70.0,3.0
68,140.0,2.0
69,140.0,3.0
70,340.0,3.0
71,290.0,2.0
72,360.0,1.0
73,140.0,4.0
74,200.0,4.0
75,250.0,3.0
76,110.0,1.0
77,180.0,2.0
78,50.0,5.0
79,200.0,1.0
80,50.0,1.0
81,160.0,2.0
82,140.0,2.0
83,250.0,5.0
84,290.0,4.0
85,50.0,4.0
86,20.0,1.0
87,200.0,3.0
88,250.0,2.0
89,140.0,4.0
90,340.0,3.0
91,320.0,1.0
92,110.0,2.0
93,270.0,2.0
94,180.0,4.0
95,320.0,4.0
96,200.0,3.0
97,320.0,2.0
98,270.0,1.0
99,200.0,6.0
100,160.0,4.0
101,270.0,2.0
102,230.0,4.0
103,180.0,3.0
104,270.0,1.0
105,180.0,1.0
106,220.0,2.0
107,90.0,1.0
108,250.0,6.0
109,270.0,3.0
110,250.0,4.0
111,270.0,3.0
112,320.0,2.0
113,360.0,2.0
114,140.0,2.0
115,160.0,4.0
116,270.0,2.0
117,140.0,1.0
118,20.0,3.0
119,90.0,2.0
120,320.0,1.0
121,180.0,5.0
122,90.0,2.0
123,250.0,3.0
124,250.0,6.0
125,50.0,2.0
126,220.0,1.0
127,360.0,3.0
128,50.0,1.0
129,290.0,3.0
130,180.0,1.0
131,220.0,5.0
132,90.0,2.0
133,50.0,4.0
134,160.0,2.0
135,180.0,2.0
136,230.0,8.0
137,270.0,1.0
138,90.0,1.0
139,360.0,2.0
140,140.0,3.0
141,250.0,4.0
142,140.0,2.0
143,180.0,2.0
144,270.0,5.0
145,140.0,1.0
146,230.0,7.0
147,250.0,5.0
148,270.0,4.0
149,140.0,3.0
150,340.0,1.0
151,270.0,3.0
152,70.0,3.0
153,180.0,1.0
154,220.0,4.0
155,290.0,7.0
156,180.0,1.0
157,140.0,2.0
158,320.0,1.0
159,50.0,1.0
160,270.0,1.0
161,110.0,3.0
162,110.0,2.0
163,250.0,7.0
164,50.0,1.0
165,50.0,2.0
166,90.0,3.0
167,160.0,3.0
168,320.0,3.0
169,90.0,1.0
170,90.0,4.0
171,40.0,2.0
172,270.0,5.0
173,50.0,2.0
174,140.0,3.0
175,160.0,4.0
176,200.0,1.0
177,360.0,2.0
178,250.0,6.0
179,70.0,2.0
180,70.0,1.0
181,110.0,1.0
182,160.0,2.0
183,360.0,2.0
184,110.0,3.0
185,140.0,1.0
186,230.0,2.0
187,290.0,4.0
188,250.0,1.0
189,250.0,3.0
190,140.0,2.0
191,110.0,3.0
192,320.0,3.0
193,270.0,3.0
194,250.0,3.0
195,20.0,3.0
196,220.0,3.0
197,230.0,1.0
198,220.0,5.0
199,90.0,2.0
200,160.0,2.0
201,320.0,1.0
202,160.0,2.0
203,50.0,2.0
204,360.0,1.0
205,140.0,2.0
206,230.0,2.0
207,270.0,2.0
208,270.0,8.0
209,250.0,3.0
210,220.0,1.0
211,40.0,2.0
212,230.0,9.0
213,220.0,2.0
214,20.0,3.0
215,180.0,4.0
216,140.0,2.0
217,180.0,3.0
218,250.0,5.0
219,360.0,2.0
220,50.0,2.0
221,360.0,2.0
222,220.0,3.0
223,270.0,2.0
224,70.0,2.0
225,320.0,1.0
226,270.0,4.0
227,20.0,3.0
228,270.0,1.0
229,90.0,4.0
230,220.0,3.0
231,320.0,2.0
232,270.0,3.0
233,250.0,4.0
234,250.0,4.0
235,320.0,1.0
236,180.0,2.0
237,320.0,1.0
238,360.0,1.0
239,70.0,2.0
240,250.0,3.0
241,110.0,2.0
242,140.0,3.0
243,250.0,5.0
244,90.0,1.0
245,250.0,2.0
246,90.0,2.0
247,320.0,1.0
248,140.0,2.0
249,360.0,1.0
250,220.0,3.0
251,270.0,5.0
252,270.0,3.0
253,320.0,1.0
254,250.0,5.0
255,180.0,2.0
256,230.0,2.0
